#group,false,false,true,true,false,false,true,true,true,true,true
#datatype,string,long,dateTime:RFC3339,dateTime:RFC3339,dateTime:RFC3339,double,string,string,string,string,string
#default,mean,,,,,,,,,,
,result,table,_start,_stop,_time,_value,_field,_measurement,device,name,type
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-16T08:44:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-16T19:12:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-17T05:40:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-17T16:08:00Z,0.5001323101349563,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-18T02:36:00Z,0.4998636487592037,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-18T13:04:00Z,0.5001357588922074,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-18T23:32:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-19T10:00:00Z,0.49973175965665234,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-19T20:28:00Z,0.5001357588922074,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-20T06:56:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-20T17:24:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-21T03:52:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-21T14:20:00Z,0.5,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-22T00:48:00Z,0.49986409350366945,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-22T11:16:00Z,0.5001357588922074,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
,,5,2022-12-04T10:59:56Z,2023-05-10T10:59:56.036Z,2023-01-22T21:44:00Z,0.4998653380016159,value,t_b660ab2e-fb4940ba,LocalKepServerDozarePompare,Epurare_FuncGratar2,Int32
